name,kind,outcome,message,package,compile_cost,n_equations,n_states,n_algebraic,n_discrete,n_parameters,structural,index_reduced,n_blocks,n_coupled,largest_coupled,n_connect_eq,n_flow_eq,n_event_conditions,n_discrete_updates,has_arrays,max_depth,n_functions
Modelica.Blocks.Examples.Noise.DrydenContinuousTurbulence,Examples,failed:ToDae,"unbalanced model: 16 equations, 15 unknowns (balance = 1)",Blocks,fast,,,,,,,,,,,,,,,false,0,
Modelica.Blocks.Examples.Noise.ImpureGenerator,Examples,success,,Blocks,fast,1,0,0,2,9,ok,,1,0,0,0,0,2,1,false,2,7
Modelica.Blocks.Examples.Noise.NormalNoiseProperties,Examples,success,,Blocks,fast,32,5,12,4,42,ok,,32,0,0,14,0,7,3,false,2,15
Modelica.Blocks.Examples.Noise.UniformNoise,Examples,success,,Blocks,fast,3,0,0,7,42,ok,,3,0,0,0,0,5,6,false,2,11
Modelica.Blocks.Examples.Noise.UniformNoiseProperties,Examples,success,,Blocks,fast,32,5,12,4,42,ok,,32,0,0,14,0,7,3,false,2,11
Modelica.Blocks.Examples.Noise.Utilities.ImpureRandom,Examples,success,,Blocks,fast,0,0,0,2,9,error:empty system: no equations or unknowns,,,,,0,0,2,1,false,1,7
Modelica.Blocks.Examples.Noise.Utilities.NormalDensity,Examples,success,,Blocks,fast,1,0,0,0,2,ok,,1,0,0,0,0,0,0,false,0,2
Modelica.Blocks.Examples.Noise.Utilities.Parts.Controller,Examples,success,,Blocks,fast,18,4,8,0,20,ok,,18,0,0,9,0,0,0,false,1,0
Modelica.Blocks.Examples.Noise.Utilities.Parts.MotorWithCurrentControl,Examples,success,,Blocks,slow,598,15,478,4,313,singular,singular,,,,206,135,6,3,true,4,22
Modelica.Blocks.Examples.Noise.Utilities.UniformDensity,Examples,success,,Blocks,fast,1,0,0,0,2,ok,,1,0,0,0,0,0,0,false,0,1
Modelica.Blocks.Examples.Noise.Utilities.WeibullDensity,Examples,success,,Blocks,fast,1,0,0,0,2,ok,,1,0,0,0,0,0,0,false,0,2
Modelica.Blocks.Examples.PID_Controller,Examples,success,,Blocks,fast,86,10,59,4,71,singular,ok,52,0,0,27,4,21,3,false,2,0
Modelica.Blocks.Examples.RealNetwork1,Examples,success,,Blocks,fast,26,0,11,7,44,singular,singular,,,,12,0,24,7,false,2,2
Modelica.Blocks.Examples.Rectifier12pulseFFT,Examples,success,,Blocks,slow,1019,14,884,20,426,singular,skipped:too-large,,,,290,250,8073,4018,true,4,18
Modelica.Blocks.Examples.Rectifier6pulseFFT,Examples,success,,Blocks,very_slow,566,8,491,14,251,singular,singular,,,,162,141,8043,4012,true,4,18
Modelica.Blocks.Examples.ShowLogicalSources,Examples,success,,Blocks,fast,3,0,2,11,47,ok,,3,0,0,1,0,16,10,false,3,9
Modelica.Blocks.Examples.SinCosEncoder,Examples,success,,Blocks,fast,48,6,23,2,37,singular,singular,,,,24,0,6,1,false,2,2
Modelica.Blocks.Examples.SlewRateLimiter,Examples,success,,Blocks,fast,18,5,9,2,23,singular,ok,13,0,0,5,0,11,1,false,1,0
