name,kind,outcome,message,package,compile_cost,n_equations,n_states,n_algebraic,n_discrete,n_parameters,structural,index_reduced,n_blocks,n_coupled,largest_coupled,n_connect_eq,n_flow_eq,n_event_conditions,n_discrete_updates,has_arrays,max_depth,n_functions
Modelica.Electrical.Batteries.BaseClasses.BaseStackWithSensors,BaseClasses,failed:ToDae,unresolved reference: stackBus.cellBus.soc,Electrical,fast,,,,,,,,,,,,,,,false,0,
Modelica.Electrical.Batteries.BatteryStacks.CellRCStack,Component,success,,Electrical,fast,70,2,63,2,68,singular,singular,,,,17,9,21,1,true,2,8
Modelica.Electrical.Batteries.BatteryStacks.CellStack,Component,success,,Electrical,fast,53,1,47,2,57,singular,singular,,,,13,8,19,1,false,2,7
Modelica.Electrical.Batteries.BatteryStacks.SuperCap,Component,success,,Electrical,fast,38,1,37,0,22,singular,singular,,,,8,7,2,0,false,2,0
Modelica.Electrical.Batteries.BatteryStacksWithSensors.Cell,Component,success,,Electrical,fast,94,2,78,3,84,singular,singular,,,,29,14,27,2,false,3,7
Modelica.Electrical.Batteries.BatteryStacksWithSensors.CellRC,Component,success,,Electrical,fast,111,3,94,3,100,singular,singular,,,,33,15,29,2,true,3,8
Modelica.Electrical.Batteries.BatteryStacksWithSensors.Stack,Component,failed:ToDae,unresolved reference: stackBus.cellBus.soc,Electrical,fast,,,,,,,,,,,,,,,false,0,
Modelica.Electrical.Batteries.BatteryStacksWithSensors.StackRC,Component,failed:Typecheck,unevaluable array dimensions for 'cell.cell.ocv_soc.y': dimension expression could not be evaluated: [Expression(nout)],Electrical,fast,,,,,,,,,,,,,,,false,0,
Modelica.Electrical.Batteries.Examples.BatteryDischargeCharge,Examples,success,,Electrical,fast,209,6,181,7,196,ok,,173,2,19,65,28,71,6,true,3,10
Modelica.Electrical.Batteries.Examples.CCCV_Cell,Examples,success,,Electrical,fast,116,3,95,5,108,ok,,83,1,34,36,15,33,4,false,4,7
Modelica.Electrical.Batteries.Examples.CCCV_CellRC,Examples,failed:ToDae,"unbalanced model: 149 equations, 154 unknowns (balance = -5)",Electrical,fast,,,,,,,,,,,,,,,false,0,
Modelica.Electrical.Batteries.Examples.CCCV_Stack,Examples,failed:ToDae,"unbalanced model: 789 equations, 825 unknowns (balance = -36)",Electrical,fast,,,,,,,,,,,,,,,false,0,
Modelica.Electrical.Batteries.Examples.CCCV_StackRC,Examples,failed:ToDae,"unbalanced model: 767 equations, 797 unknowns (balance = -30)",Electrical,fast,,,,,,,,,,,,,,,false,0,
Modelica.Electrical.Batteries.Examples.CCCVcharging,Examples,failed:ToDae,"unbalanced model: 118 equations, 123 unknowns (balance = -5)",Electrical,fast,,,,,,,,,,,,,,,false,0,
Modelica.Electrical.Batteries.Examples.ShowImpedance,Examples,success,,Electrical,fast,3,0,1,1,47,singular,singular,,,,1,0,6,0,true,3,2
Modelica.Electrical.Batteries.Examples.SuperCapDischargeCharge,Examples,success,,Electrical,fast,74,2,65,4,42,ok,,74,0,0,24,12,26,3,false,3,2
Modelica.Electrical.Batteries.Icons.BatteryIcon,Icons,success,,Electrical,fast,0,0,0,0,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Electrical.Batteries.Icons.TransientModel,Icons,success,,Electrical,fast,0,0,0,0,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Electrical.Batteries.UsersGuide.Concept,Component,success,,Electrical,fast,0,0,0,0,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Electrical.Batteries.UsersGuide.Contact,Component,success,,Electrical,fast,0,0,0,0,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Electrical.Batteries.UsersGuide.Parameterization,Component,success,,Electrical,fast,0,0,0,0,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Electrical.Batteries.UsersGuide.References,Component,success,,Electrical,fast,0,0,0,0,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Electrical.Batteries.UsersGuide.ReleaseNotes,Component,success,,Electrical,fast,0,0,0,0,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Electrical.Batteries.Utilities.BusTranscription,Component,success,,Electrical,fast,12,0,6,6,12,ok,,12,0,0,6,0,0,6,true,1,0
Modelica.Electrical.Batteries.Utilities.CCCVcharger,Component,success,,Electrical,fast,6,0,6,2,5,singular,singular,,,,0,2,7,1,false,1,0
Modelica.Electrical.Batteries.Utilities.Impedance,Component,success,,Electrical,fast,1,0,0,0,19,singular,singular,,,,0,0,0,0,true,2,3
Modelica.Electrical.Batteries.Utilities.PulseSeries,Component,success,,Electrical,fast,1,0,0,3,14,ok,,1,0,0,0,0,12,2,false,1,2
Modelica.Electrical.Digital.Basic.And,Component,success,,Electrical,fast,0,0,0,3,2,error:empty system: no equations or unknowns,,,,,0,0,0,4,false,1,0
Modelica.Electrical.Digital.Basic.Nand,Component,success,,Electrical,fast,0,0,0,3,2,error:empty system: no equations or unknowns,,,,,0,0,0,4,false,1,0
Modelica.Electrical.Digital.Basic.Nor,Component,success,,Electrical,fast,0,0,0,3,2,error:empty system: no equations or unknowns,,,,,0,0,0,4,false,1,0
Modelica.Electrical.Digital.Basic.Not,Component,success,,Electrical,fast,0,0,0,2,1,error:empty system: no equations or unknowns,,,,,0,0,0,2,false,1,0
Modelica.Electrical.Digital.Basic.Or,Component,success,,Electrical,fast,0,0,0,3,2,error:empty system: no equations or unknowns,,,,,0,0,0,4,false,1,0
Modelica.Electrical.Digital.Basic.Xnor,Component,success,,Electrical,fast,0,0,0,3,2,error:empty system: no equations or unknowns,,,,,0,0,0,4,false,1,0
Modelica.Electrical.Digital.Basic.Xor,Component,success,,Electrical,fast,0,0,0,3,2,error:empty system: no equations or unknowns,,,,,0,0,0,4,false,1,0
Modelica.Electrical.Digital.Converters.BooleanToLogic,Component,failed:Flatten,unresolved component dimension for x: n,Electrical,fast,,,,,,,,,,,,,,,false,0,
Modelica.Electrical.Digital.Converters.LogicToBoolean,Component,failed:Flatten,unresolved component dimension for x: n,Electrical,fast,,,,,,,,,,,,,,,false,0,
Modelica.Electrical.Digital.Converters.LogicToReal,Component,failed:Flatten,unresolved component dimension for x: n,Electrical,fast,,,,,,,,,,,,,,,false,0,
Modelica.Electrical.Digital.Converters.LogicToUX01,Component,failed:Flatten,unresolved component dimension for x: n,Electrical,fast,,,,,,,,,,,,,,,false,0,
Modelica.Electrical.Digital.Converters.LogicToX01,Component,failed:Flatten,unresolved component dimension for x: n,Electrical,fast,,,,,,,,,,,,,,,false,0,
Modelica.Electrical.Digital.Converters.LogicToX01Z,Component,failed:Flatten,unresolved component dimension for x: n,Electrical,fast,,,,,,,,,,,,,,,false,0,
Modelica.Electrical.Digital.Converters.RealToLogic,Component,failed:Flatten,unresolved component dimension for x: n,Electrical,fast,,,,,,,,,,,,,,,false,0,
Modelica.Electrical.Digital.Delay.DelayParams,Component,success,,Electrical,fast,0,0,0,0,3,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Electrical.Digital.Delay.InertialDelay,Component,success,,Electrical,fast,0,0,0,5,8,error:empty system: no equations or unknowns,,,,,0,0,4,4,false,1,0
Modelica.Electrical.Digital.Delay.InertialDelaySensitive,Component,success,,Electrical,fast,0,0,0,7,13,error:empty system: no equations or unknowns,,,,,0,0,14,6,false,1,0
Modelica.Electrical.Digital.Delay.InertialDelaySensitiveVector,Component,success,,Electrical,fast,1,0,0,9,16,singular,singular,,,,1,0,14,7,true,2,0
Modelica.Electrical.Digital.Delay.TransportDelay,Component,success,,Electrical,fast,1,0,1,3,4,ok,,1,0,0,0,0,1,2,false,1,0
Modelica.Electrical.Digital.Examples.Adder4,Examples,success,,Electrical,fast,0,0,0,286,338,error:empty system: no equations or unknowns,,,,,0,0,228,325,false,5,0
Modelica.Electrical.Digital.Examples.BUF3S,Examples,success,,Electrical,fast,0,0,0,15,24,error:empty system: no equations or unknowns,,,,,0,0,19,14,false,3,0
Modelica.Electrical.Digital.Examples.Counter,Examples,success,,Electrical,fast,13,0,9,227,169,ok,,13,0,0,0,0,71,309,true,5,0
Modelica.Electrical.Digital.Examples.Counter3,Examples,success,,Electrical,fast,7,0,7,171,97,ok,,7,0,0,0,0,7,230,false,5,0
Modelica.Electrical.Digital.Examples.DFFREG,Examples,success,,Electrical,fast,0,0,0,33,56,error:empty system: no equations or unknowns,,,,,0,0,74,35,true,4,0
Modelica.Electrical.Digital.Examples.DFFREGL,Examples,success,,Electrical,fast,0,0,0,33,56,error:empty system: no equations or unknowns,,,,,0,0,74,35,true,4,0
Modelica.Electrical.Digital.Examples.DFFREGSRH,Examples,success,,Electrical,fast,0,0,0,36,61,error:empty system: no equations or unknowns,,,,,0,0,95,38,true,4,0
Modelica.Electrical.Digital.Examples.DFFREGSRL,Examples,success,,Electrical,fast,0,0,0,36,61,error:empty system: no equations or unknowns,,,,,0,0,95,38,true,4,0
Modelica.Electrical.Digital.Examples.DLATREG,Examples,success,,Electrical,fast,0,0,0,33,52,error:empty system: no equations or unknowns,,,,,0,0,89,35,true,4,0
Modelica.Electrical.Digital.Examples.DLATREGL,Examples,success,,Electrical,fast,0,0,0,33,52,error:empty system: no equations or unknowns,,,,,0,0,89,35,true,4,0
Modelica.Electrical.Digital.Examples.DLATREGSRH,Examples,success,,Electrical,fast,0,0,0,36,56,error:empty system: no equations or unknowns,,,,,0,0,111,38,true,4,0
Modelica.Electrical.Digital.Examples.DLATREGSRL,Examples,success,,Electrical,fast,0,0,0,36,56,error:empty system: no equations or unknowns,,,,,0,0,111,38,true,4,0
Modelica.Electrical.Digital.Examples.FlipFlop,Examples,success,,Electrical,fast,3,0,3,59,44,ok,,3,0,0,0,0,14,78,false,4,0
Modelica.Electrical.Digital.Examples.FullAdder,Examples,success,,Electrical,fast,9,0,7,242,191,ok,,9,0,0,0,0,94,311,false,5,0
Modelica.Electrical.Digital.Examples.HalfAdder,Examples,success,,Electrical,fast,2,0,0,35,66,ok,,2,0,0,0,0,64,38,false,4,0
Modelica.Electrical.Digital.Examples.INV3S,Examples,success,,Electrical,fast,0,0,0,15,24,error:empty system: no equations or unknowns,,,,,0,0,19,14,false,3,0
Modelica.Electrical.Digital.Examples.MUX2x1,Examples,success,,Electrical,fast,0,0,0,17,27,error:empty system: no equations or unknowns,,,,,0,0,21,16,false,3,0
Modelica.Electrical.Digital.Examples.Multiplexer,Examples,success,,Electrical,fast,3,0,3,95,67,ok,,3,0,0,0,0,14,136,false,4,0
Modelica.Electrical.Digital.Examples.NRXFER,Examples,success,,Electrical,fast,0,0,0,15,23,error:empty system: no equations or unknowns,,,,,0,0,19,14,false,3,0
Modelica.Electrical.Digital.Examples.NXFER,Examples,success,,Electrical,fast,0,0,0,15,23,error:empty system: no equations or unknowns,,,,,0,0,19,14,false,3,0
Modelica.Electrical.Digital.Examples.RAM,Examples,success,,Electrical,fast,0,0,0,31,47,error:empty system: no equations or unknowns,,,,,0,0,152,42,true,3,13
Modelica.Electrical.Digital.Examples.Utilities.Adder,Examples,success,,Electrical,fast,2,0,0,141,154,singular,singular,,,,2,0,112,159,true,5,0
Modelica.Electrical.Digital.Examples.Utilities.Counter,Examples,success,,Electrical,fast,6,0,6,164,91,ok,,6,0,0,0,0,1,225,true,4,0
Modelica.Electrical.Digital.Examples.Utilities.Counter3,Examples,success,,Electrical,fast,6,0,6,166,88,ok,,6,0,0,0,0,1,225,false,4,0
Modelica.Electrical.Digital.Examples.Utilities.DFF,Examples,success,,Electrical,fast,2,0,1,34,19,singular,singular,,,,1,0,1,40,false,4,0
Modelica.Electrical.Digital.Examples.Utilities.FullAdder,Examples,success,,Electrical,fast,0,0,0,67,77,error:empty system: no equations or unknowns,,,,,0,0,56,76,false,4,0
Modelica.Electrical.Digital.Examples.Utilities.HalfAdder,Examples,failed:ToDae,"unbalanced model: 32 equations, 34 unknowns (balance = -2)",Electrical,fast,,,,,,,,,,,,,,,false,0,
Modelica.Electrical.Digital.Examples.Utilities.JKFF,Examples,failed:ToDae,"unbalanced model: 70 equations, 71 unknowns (balance = -1)",Electrical,fast,,,,,,,,,,,,,,,false,0,
Modelica.Electrical.Digital.Examples.Utilities.MUX4,Examples,success,,Electrical,fast,6,0,0,27,14,singular,singular,,,,6,0,0,43,false,2,0
Modelica.Electrical.Digital.Examples.Utilities.RS,Examples,success,,Electrical,fast,3,0,1,14,10,singular,singular,,,,2,0,1,15,false,2,0
Modelica.Electrical.Digital.Examples.Utilities.RSFF,Examples,success,,Electrical,fast,4,0,1,26,16,singular,singular,,,,3,0,1,30,false,3,0
Modelica.Electrical.Digital.Examples.VectorDelay,Examples,success,,Electrical,fast,0,0,0,27,52,error:empty system: no equations or unknowns,,,,,0,0,48,30,true,3,0
Modelica.Electrical.Digital.Examples.WiredX,Examples,success,,Electrical,fast,0,0,0,32,49,error:empty system: no equations or unknowns,,,,,0,0,34,33,false,3,0
Modelica.Electrical.Digital.Gates.AndGate,Component,success,,Electrical,fast,1,0,0,13,19,singular,singular,,,,1,0,14,12,false,2,0
Modelica.Electrical.Digital.Gates.BufGate,Component,success,,Electrical,fast,0,0,0,9,16,error:empty system: no equations or unknowns,,,,,0,0,14,8,false,2,0
Modelica.Electrical.Digital.Gates.InvGate,Component,success,,Electrical,fast,0,0,0,12,17,error:empty system: no equations or unknowns,,,,,0,0,14,11,false,2,0
Modelica.Electrical.Digital.Gates.NandGate,Component,success,,Electrical,fast,1,0,0,13,19,singular,singular,,,,1,0,14,12,false,2,0
Modelica.Electrical.Digital.Gates.NorGate,Component,success,,Electrical,fast,1,0,0,13,19,singular,singular,,,,1,0,14,12,false,2,0
Modelica.Electrical.Digital.Gates.OrGate,Component,success,,Electrical,fast,1,0,0,13,19,singular,singular,,,,1,0,14,12,false,2,0
Modelica.Electrical.Digital.Gates.XnorGate,Component,success,,Electrical,fast,1,0,0,13,19,singular,singular,,,,1,0,14,12,false,2,0
Modelica.Electrical.Digital.Gates.XorGate,Component,success,,Electrical,fast,1,0,0,13,19,singular,singular,,,,1,0,14,12,false,2,0
Modelica.Electrical.Digital.Interfaces.MIMO,Interfaces,success,,Electrical,fast,0,0,0,1,1,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Electrical.Digital.Interfaces.MISO,Interfaces,success,,Electrical,fast,0,0,0,1,1,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Electrical.Digital.Interfaces.MemoryBase,Interfaces,success,,Electrical,fast,0,0,0,20,31,error:empty system: no equations or unknowns,,,,,0,0,28,16,true,2,2
Modelica.Electrical.Digital.Interfaces.SISO,Interfaces,success,,Electrical,fast,0,0,0,1,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Electrical.Digital.Memories.DLATRAM,Component,success,,Electrical,fast,0,0,0,21,35,error:empty system: no equations or unknowns,,,,,0,0,72,30,true,2,13
Modelica.Electrical.Digital.Memories.DLATROM,Component,success,,Electrical,fast,0,0,0,21,35,error:empty system: no equations or unknowns,,,,,0,0,38,22,true,2,13
Modelica.Electrical.Digital.Multiplexers.MUX2x1,Component,success,,Electrical,fast,0,0,0,11,16,error:empty system: no equations or unknowns,,,,,0,0,14,10,false,2,0
Modelica.Electrical.Digital.Registers.DFFR,Component,success,,Electrical,fast,0,0,0,6,9,error:empty system: no equations or unknowns,,,,,0,0,24,5,false,1,0
Modelica.Electrical.Digital.Registers.DFFREG,Component,success,,Electrical,fast,3,0,0,19,28,singular,singular,,,,3,0,38,15,true,3,0
Modelica.Electrical.Digital.Registers.DFFREGL,Component,success,,Electrical,fast,3,0,0,19,28,singular,singular,,,,3,0,38,15,true,3,0
Modelica.Electrical.Digital.Registers.DFFREGSRH,Component,success,,Electrical,fast,4,0,0,20,29,singular,singular,,,,4,0,56,15,true,3,0
Modelica.Electrical.Digital.Registers.DFFREGSRL,Component,success,,Electrical,fast,4,0,0,20,29,singular,singular,,,,4,0,56,15,true,3,0
Modelica.Electrical.Digital.Registers.DFFSR,Component,success,,Electrical,fast,0,0,0,6,10,error:empty system: no equations or unknowns,,,,,0,0,42,5,false,1,0
Modelica.Electrical.Digital.Registers.DLATR,Component,success,,Electrical,fast,0,0,0,6,5,error:empty system: no equations or unknowns,,,,,0,0,40,5,false,1,0
Modelica.Electrical.Digital.Registers.DLATREG,Component,success,,Electrical,fast,3,0,0,19,24,singular,singular,,,,3,0,54,15,true,3,0
Modelica.Electrical.Digital.Registers.DLATREGL,Component,success,,Electrical,fast,3,0,0,19,24,singular,singular,,,,3,0,54,15,true,3,0
Modelica.Electrical.Digital.Registers.DLATREGSRH,Component,success,,Electrical,fast,4,0,0,20,24,singular,singular,,,,4,0,68,15,true,3,0
Modelica.Electrical.Digital.Registers.DLATREGSRL,Component,success,,Electrical,fast,4,0,0,20,24,singular,singular,,,,4,0,68,15,true,3,0
Modelica.Electrical.Digital.Registers.DLATSR,Component,success,,Electrical,fast,0,0,0,6,5,error:empty system: no equations or unknowns,,,,,0,0,54,5,false,1,0
Modelica.Electrical.Digital.Sources.DigitalClock,Component,success,,Electrical,fast,1,0,1,3,7,ok,,1,0,0,0,0,5,2,false,1,0
Modelica.Electrical.Digital.Sources.Pulse,Component,success,,Electrical,fast,0,0,0,5,12,error:empty system: no equations or unknowns,,,,,0,0,9,4,false,1,0
Modelica.Electrical.Digital.Sources.Set,Component,success,,Electrical,fast,0,0,0,1,1,error:empty system: no equations or unknowns,,,,,0,0,0,1,false,0,0
Modelica.Electrical.Digital.Sources.Step,Component,success,,Electrical,fast,0,0,0,2,4,error:empty system: no equations or unknowns,,,,,0,0,1,1,false,1,0
Modelica.Electrical.Digital.Sources.Table,Component,success,,Electrical,fast,0,0,0,2,5,error:empty system: no equations or unknowns,,,,,0,0,1,1,false,1,0
Modelica.Electrical.Digital.Tristates.BUF3S,Component,success,,Electrical,fast,0,0,0,11,16,error:empty system: no equations or unknowns,,,,,0,0,14,10,false,2,0
Modelica.Electrical.Digital.Tristates.BUF3SL,Component,success,,Electrical,fast,0,0,0,11,16,error:empty system: no equations or unknowns,,,,,0,0,14,10,false,2,0
Modelica.Electrical.Digital.Tristates.INV3S,Component,success,,Electrical,fast,0,0,0,11,16,error:empty system: no equations or unknowns,,,,,0,0,14,10,false,2,0
Modelica.Electrical.Digital.Tristates.INV3SL,Component,success,,Electrical,fast,0,0,0,11,16,error:empty system: no equations or unknowns,,,,,0,0,14,10,false,2,0
Modelica.Electrical.Digital.Tristates.NRXFERGATE,Component,success,,Electrical,fast,0,0,0,11,15,error:empty system: no equations or unknowns,,,,,0,0,14,10,false,2,0
Modelica.Electrical.Digital.Tristates.NXFERGATE,Component,success,,Electrical,fast,0,0,0,11,15,error:empty system: no equations or unknowns,,,,,0,0,14,10,false,2,0
Modelica.Electrical.Digital.Tristates.PRXFERGATE,Component,success,,Electrical,fast,0,0,0,11,15,error:empty system: no equations or unknowns,,,,,0,0,14,10,false,2,0
Modelica.Electrical.Digital.Tristates.PXFERGATE,Component,success,,Electrical,fast,0,0,0,11,15,error:empty system: no equations or unknowns,,,,,0,0,14,10,false,2,0
Modelica.Electrical.Digital.Tristates.WiredX,Component,success,,Electrical,fast,0,0,0,2,2,error:empty system: no equations or unknowns,,,,,0,0,0,3,false,1,0
Modelica.Electrical.Digital.UsersGuide.Contact,Component,success,,Electrical,fast,0,0,0,0,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Electrical.Digital.UsersGuide.Literature,Component,success,,Electrical,fast,0,0,0,0,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Electrical.Digital.UsersGuide.ReleaseNotes,Component,success,,Electrical,fast,0,0,0,0,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Electrical.Machines.BasicMachines.Components.AirGapDC,Component,success,,Electrical,fast,19,3,14,0,3,singular,singular,,,,0,6,0,0,false,1,0
Modelica.Electrical.Machines.BasicMachines.Components.AirGapR,Component,success,,Electrical,fast,18,2,15,0,5,singular,singular,,,,0,4,0,0,false,1,0
Modelica.Electrical.Machines.BasicMachines.Components.AirGapS,Component,success,,Electrical,fast,18,2,15,0,4,singular,singular,,,,0,4,0,0,false,1,0
Modelica.Electrical.Machines.BasicMachines.Components.CompoundDCExcitation,Component,success,,Electrical,fast,18,0,18,0,1,singular,singular,,,,0,6,0,0,false,1,0
Modelica.Electrical.Machines.BasicMachines.Components.DamperCage,Component,success,,Electrical,fast,9,1,5,0,8,singular,singular,,,,0,1,1,0,false,1,0
Modelica.Electrical.Machines.BasicMachines.Components.ElectricalExcitation,Component,success,,Electrical,fast,8,0,8,0,1,singular,singular,,,,0,3,0,0,false,1,0
Modelica.Electrical.Machines.BasicMachines.Components.IdealCore,Component,success,,Electrical,fast,49,0,43,0,9,singular,singular,,,,0,18,0,0,true,2,0
Modelica.Electrical.Machines.BasicMachines.Components.Inductor,Component,success,,Electrical,fast,7,1,5,0,1,singular,singular,,,,0,2,0,0,false,1,0
Modelica.Electrical.Machines.BasicMachines.Components.InductorDC,Component,success,,Electrical,fast,6,1,5,0,2,singular,singular,,,,0,2,0,0,false,1,0
Modelica.Electrical.Machines.BasicMachines.Components.PartialAirGap,Component,success,,Electrical,fast,15,2,14,0,2,singular,singular,,,,0,4,0,0,false,1,0
Modelica.Electrical.Machines.BasicMachines.Components.PartialAirGapDC,Component,success,,Electrical,fast,18,3,14,0,2,singular,singular,,,,0,6,0,0,false,1,0
Modelica.Electrical.Machines.BasicMachines.Components.PartialCore,Component,success,,Electrical,fast,46,0,43,0,9,singular,singular,,,,0,18,0,0,true,2,0
Modelica.Electrical.Machines.BasicMachines.Components.PermanentMagnet,Component,success,,Electrical,fast,2,0,2,0,1,singular,singular,,,,0,1,0,0,false,1,0
Modelica.Electrical.Machines.BasicMachines.Components.PermanentMagnetWithLosses,Component,success,,Electrical,fast,11,1,10,0,10,singular,singular,,,,0,3,0,0,false,1,1
Modelica.Electrical.Machines.BasicMachines.Components.SquirrelCage,Component,success,,Electrical,fast,6,1,4,0,6,singular,singular,,,,0,1,1,0,false,1,0
Modelica.Electrical.Machines.BasicMachines.DCMachines.DC_ElectricalExcited,Component,success,,Electrical,fast,217,12,175,0,101,singular,singular,,,,45,42,3,0,false,3,3
Modelica.Electrical.Machines.BasicMachines.DCMachines.DC_PermanentMagnet,Component,success,,Electrical,fast,179,11,141,0,86,singular,singular,,,,39,34,2,0,false,3,3
Modelica.Electrical.Machines.BasicMachines.DCMachines.DC_SeriesExcited,Component,success,,Electrical,fast,216,12,174,0,102,singular,singular,,,,45,42,3,0,false,3,3
Modelica.Electrical.Machines.BasicMachines.InductionMachines.IM_SlipRing,Component,success,,Electrical,fast,421,13,349,0,181,singular,singular,,,,94,100,6,0,true,3,3
Modelica.Electrical.Machines.BasicMachines.InductionMachines.IM_SquirrelCage,Component,success,,Electrical,fast,285,12,230,0,126,singular,singular,,,,62,63,4,0,true,3,3
Modelica.Electrical.Machines.BasicMachines.QuasiStaticDCMachines.DC_ElectricalExcited,Component,success,,Electrical,fast,217,12,175,0,101,singular,singular,,,,45,42,3,0,false,3,3
Modelica.Electrical.Machines.BasicMachines.QuasiStaticDCMachines.DC_PermanentMagnet,Component,success,,Electrical,fast,179,11,141,0,86,singular,singular,,,,39,34,2,0,false,3,3
Modelica.Electrical.Machines.BasicMachines.QuasiStaticDCMachines.DC_SeriesExcited,Component,success,,Electrical,fast,216,12,174,0,102,singular,singular,,,,45,42,3,0,false,3,3
Modelica.Electrical.Machines.BasicMachines.SynchronousMachines.SM_ElectricalExcited,Component,failed:ToDae,"unbalanced model: 385 equations, 384 unknowns (balance = 1)",Electrical,fast,,,,,,,,,,,,,,,false,0,
Modelica.Electrical.Machines.BasicMachines.SynchronousMachines.SM_PermanentMagnet,Component,failed:ToDae,"unbalanced model: 353 equations, 352 unknowns (balance = 1)",Electrical,fast,,,,,,,,,,,,,,,false,0,
Modelica.Electrical.Machines.BasicMachines.SynchronousMachines.SM_ReluctanceRotor,Component,failed:ToDae,"unbalanced model: 325 equations, 324 unknowns (balance = 1)",Electrical,fast,,,,,,,,,,,,,,,false,0,
Modelica.Electrical.Machines.BasicMachines.Transformers.Dd.Dd00,Component,success,,Electrical,fast,343,6,295,0,104,singular,singular,,,,93,92,6,0,true,3,3
Modelica.Electrical.Machines.BasicMachines.Transformers.Dd.Dd02,Component,success,,Electrical,fast,355,6,307,0,107,singular,singular,,,,99,98,6,0,true,3,3
Modelica.Electrical.Machines.BasicMachines.Transformers.Dd.Dd04,Component,success,,Electrical,fast,343,6,295,0,104,singular,singular,,,,93,92,6,0,true,3,3
Modelica.Electrical.Machines.BasicMachines.Transformers.Dd.Dd06,Component,success,,Electrical,fast,343,6,295,0,104,singular,singular,,,,93,92,6,0,true,3,3
Modelica.Electrical.Machines.BasicMachines.Transformers.Dd.Dd08,Component,success,,Electrical,fast,355,6,307,0,107,singular,singular,,,,99,98,6,0,true,3,3
Modelica.Electrical.Machines.BasicMachines.Transformers.Dd.Dd10,Component,success,,Electrical,fast,343,6,295,0,104,singular,singular,,,,93,92,6,0,true,3,3
Modelica.Electrical.Machines.BasicMachines.Transformers.Dy.Dy01,Component,success,,Electrical,fast,353,6,305,0,106,singular,singular,,,,97,98,6,0,true,3,3
Modelica.Electrical.Machines.BasicMachines.Transformers.Dy.Dy03,Component,success,,Electrical,fast,353,6,305,0,106,singular,singular,,,,97,98,6,0,true,3,3
Modelica.Electrical.Machines.BasicMachines.Transformers.Dy.Dy05,Component,success,,Electrical,fast,341,6,293,0,103,singular,singular,,,,91,92,6,0,true,3,3
Modelica.Electrical.Machines.BasicMachines.Transformers.Dy.Dy07,Component,success,,Electrical,fast,353,6,305,0,106,singular,singular,,,,97,98,6,0,true,3,3
Modelica.Electrical.Machines.BasicMachines.Transformers.Dy.Dy09,Component,success,,Electrical,fast,353,6,305,0,106,singular,singular,,,,97,98,6,0,true,3,3
Modelica.Electrical.Machines.BasicMachines.Transformers.Dy.Dy11,Component,success,,Electrical,fast,341,6,293,0,103,singular,singular,,,,91,92,6,0,true,3,3
Modelica.Electrical.Machines.BasicMachines.Transformers.Dz.Dz00,Component,success,,Electrical,fast,365,6,317,0,109,singular,singular,,,,103,104,6,0,true,3,3
Modelica.Electrical.Machines.BasicMachines.Transformers.Dz.Dz02,Component,success,,Electrical,fast,365,6,317,0,109,singular,singular,,,,103,104,6,0,true,3,3
Modelica.Electrical.Machines.BasicMachines.Transformers.Dz.Dz04,Component,success,,Electrical,fast,353,6,305,0,106,singular,singular,,,,97,98,6,0,true,3,3
Modelica.Electrical.Machines.BasicMachines.Transformers.Dz.Dz06,Component,success,,Electrical,fast,353,6,305,0,106,singular,singular,,,,97,98,6,0,true,3,3
Modelica.Electrical.Machines.BasicMachines.Transformers.Dz.Dz08,Component,success,,Electrical,fast,365,6,317,0,109,singular,singular,,,,103,104,6,0,true,3,3
Modelica.Electrical.Machines.BasicMachines.Transformers.Dz.Dz10,Component,success,,Electrical,fast,365,6,317,0,109,singular,singular,,,,103,104,6,0,true,3,3
Modelica.Electrical.Machines.BasicMachines.Transformers.Yd.Yd01,Component,success,,Electrical,fast,341,6,293,0,103,singular,singular,,,,91,92,6,0,true,3,3
Modelica.Electrical.Machines.BasicMachines.Transformers.Yd.Yd03,Component,success,,Electrical,fast,353,6,305,0,106,singular,singular,,,,97,98,6,0,true,3,3
Modelica.Electrical.Machines.BasicMachines.Transformers.Yd.Yd05,Component,success,,Electrical,fast,341,6,293,0,103,singular,singular,,,,91,92,6,0,true,3,3
