name,peak_ws_mb,secs,verdict
Modelica.Blocks.Interfaces.PartialConversionBlock,1272,4.8,ok
Modelica.Blocks.Interfaces.PartialIntegerMISO,1278,4.8,ok
Modelica.Blocks.Interfaces.PartialIntegerSISO,1273,4.8,ok
Modelica.Blocks.Interfaces.PartialNoise,1236,4.8,ok
Modelica.Blocks.Interfaces.PartialRealMISO,1252,4.8,ok
Modelica.Blocks.Interfaces.SI2BooleanSO,1221,4.7,ok
Modelica.Blocks.Interfaces.SI2SO,1213,4.8,ok
Modelica.Blocks.Interfaces.SIMO,1237,4.8,ok
Modelica.Blocks.Interfaces.SISO,1258,4.8,ok
Modelica.Blocks.Interfaces.SO,1257,4.7,ok
Modelica.Blocks.Interfaces.SVcontrol,1266,4.8,ok
Modelica.Blocks.Interfaces.SVdiscrete,1220,4.7,ok
Modelica.Blocks.Interfaces.SignalSource,1218,4.7,ok
Modelica.Blocks.Interfaces.partialBooleanComparison,1262,4.8,ok
Modelica.Blocks.Interfaces.partialBooleanSI,1216,4.7,ok
Modelica.Blocks.Interfaces.partialBooleanSI2SO,1212,4.8,ok
Modelica.Blocks.Interfaces.partialBooleanSI3SO,1280,4.8,ok
Modelica.Blocks.Interfaces.partialBooleanSISO,1219,4.8,ok
Modelica.Blocks.Interfaces.partialBooleanSO,1271,4.8,ok
Modelica.Blocks.Interfaces.partialBooleanSource,1225,4.7,ok
Modelica.Blocks.Interfaces.partialBooleanThresholdComparison,1274,4.8,ok
Modelica.Blocks.Logical.And,1267,4.8,ok
Modelica.Blocks.Logical.AssertCondition,1277,4.8,ok
Modelica.Blocks.Logical.Change,1275,4.3,ok
Modelica.Blocks.Logical.Edge,1261,4.8,ok
Modelica.Blocks.Logical.FallingEdge,1282,4.8,ok
Modelica.Blocks.Logical.Greater,1262,4.3,ok
Modelica.Blocks.Logical.GreaterEqual,1274,4.3,ok
Modelica.Blocks.Logical.GreaterEqualThreshold,1301,4.4,ok
Modelica.Blocks.Logical.GreaterThreshold,1269,4.8,ok
Modelica.Blocks.Logical.Hysteresis,1268,4.8,ok
Modelica.Blocks.Logical.Less,1238,4.8,ok
Modelica.Blocks.Logical.LessEqual,1240,4.8,ok
Modelica.Blocks.Logical.LessEqualThreshold,1278,4.8,ok
Modelica.Blocks.Logical.LessThreshold,1260,4.8,ok
Modelica.Blocks.Logical.LogicalDelay,1261,4.8,ok
Modelica.Blocks.Logical.LogicalSwitch,1261,4.8,ok
Modelica.Blocks.Logical.Nand,1236,4.8,ok
Modelica.Blocks.Logical.Nor,1261,4.3,ok
Modelica.Blocks.Logical.Not,1279,4.3,ok
Modelica.Blocks.Logical.OnOffController,1275,4.8,ok
Modelica.Blocks.Logical.Or,1233,4.8,ok
Modelica.Blocks.Logical.Pre,1258,4.8,ok
Modelica.Blocks.Logical.RSFlipFlop,1234,4.8,ok
Modelica.Blocks.Logical.Switch,1273,4.8,ok
Modelica.Blocks.Logical.TerminateSimulation,1262,4.8,ok
Modelica.Blocks.Logical.Timer,1208,4.7,ok
Modelica.Blocks.Logical.TriggeredTrapezoid,1273,4.9,ok
Modelica.Blocks.Logical.Xor,1261,4.8,ok
Modelica.Blocks.Logical.ZeroCrossing,1271,4.3,ok
Modelica.Blocks.Math.Abs,1229,4.8,ok
Modelica.Blocks.Math.Acos,1238,4.8,ok
Modelica.Blocks.Math.Add,1224,4.8,ok
Modelica.Blocks.Math.Add3,1231,4.8,ok
Modelica.Blocks.Math.Asin,1240,4.8,ok
Modelica.Blocks.Math.Atan,1235,4.8,ok
Modelica.Blocks.Math.Atan2,1218,4.8,ok
Modelica.Blocks.Math.BooleanChange,1248,4.8,ok
Modelica.Blocks.Math.BooleanToInteger,1259,4.7,ok
Modelica.Blocks.Math.BooleanToReal,1241,4.8,ok
Modelica.Blocks.Math.ContinuousMean,1224,4.8,ok
Modelica.Blocks.Math.ContinuousSignalExtrema,1250,4.8,ok
Modelica.Blocks.Math.Cos,1239,4.7,ok
Modelica.Blocks.Math.Cosh,1229,4.8,ok
Modelica.Blocks.Math.Division,1240,4.8,ok
Modelica.Blocks.Math.Edge,1282,4.8,ok
Modelica.Blocks.Math.Exp,1281,4.8,ok
Modelica.Blocks.Math.Exponentiation,1242,4.8,ok
Modelica.Blocks.Math.Feedback,1234,4.8,ok
Modelica.Blocks.Math.Gain,1264,4.8,ok
Modelica.Blocks.Math.Harmonic,1322,5.4,ok
Modelica.Blocks.Math.IntegerChange,1262,4.7,ok
Modelica.Blocks.Math.IntegerToBoolean,1324,4.8,ok
Modelica.Blocks.Math.IntegerToReal,1277,4.8,ok
Modelica.Blocks.Math.InverseBlockConstraints,1260,4.8,ok
Modelica.Blocks.Math.LinearDependency,1269,4.8,ok
Modelica.Blocks.Math.Log,1236,4.8,ok
Modelica.Blocks.Math.Log10,1266,4.8,ok
Modelica.Blocks.Math.MatrixGain,1311,4.9,ok
Modelica.Blocks.Math.Max,1237,4.8,ok
Modelica.Blocks.Math.Mean,1301,4.8,ok
Modelica.Blocks.Math.Min,1263,4.8,ok
Modelica.Blocks.Math.MinMax,1310,4.8,ok
Modelica.Blocks.Math.MultiProduct,1284,4.8,ok
Modelica.Blocks.Math.MultiSum,1251,4.8,ok
Modelica.Blocks.Math.MultiSwitch,1244,4.8,ok
Modelica.Blocks.Math.PolarToRectangular,1228,4.8,ok
Modelica.Blocks.Math.Power,1244,4.7,ok
Modelica.Blocks.Math.Product,1252,4.8,ok
Modelica.Blocks.Math.Pythagoras,1243,4.8,ok
Modelica.Blocks.Math.RealFFT,1301,4.8,ok
Modelica.Blocks.Math.RealToBoolean,1285,4.8,ok
Modelica.Blocks.Math.RealToInteger,1293,4.8,ok
Modelica.Blocks.Math.RectangularToPolar,1228,4.8,ok
Modelica.Blocks.Math.RectifiedMean,1261,4.8,ok
Modelica.Blocks.Math.RootMeanSquare,1332,4.8,ok
Modelica.Blocks.Math.Sign,1255,4.8,ok
Modelica.Blocks.Math.SignalExtrema,1252,4.8,ok
Modelica.Blocks.Math.Sin,1294,4.8,ok
Modelica.Blocks.Math.Sinh,1241,4.8,ok
Modelica.Blocks.Math.Sqrt,1232,4.8,ok
Modelica.Blocks.Math.StandardDeviation,1237,4.7,ok
Modelica.Blocks.Math.Sum,1243,4.8,ok
Modelica.Blocks.Math.Tan,1254,4.8,ok
Modelica.Blocks.Math.Tanh,1263,4.8,ok
Modelica.Blocks.Math.TotalHarmonicDistortion,1339,5.4,ok
Modelica.Blocks.Math.UnitConversions.From_bar,1237,4.8,ok
Modelica.Blocks.Math.UnitConversions.From_day,1228,4.8,ok
Modelica.Blocks.Math.UnitConversions.From_deg,1251,4.8,ok
Modelica.Blocks.Math.UnitConversions.From_degC,1273,4.8,ok
Modelica.Blocks.Math.UnitConversions.From_degF,1225,4.8,ok
Modelica.Blocks.Math.UnitConversions.From_degRk,1265,4.8,ok
Modelica.Blocks.Math.UnitConversions.From_gps,1230,4.8,ok
Modelica.Blocks.Math.UnitConversions.From_hour,1240,4.8,ok
Modelica.Blocks.Math.UnitConversions.From_kWh,1223,4.8,ok
Modelica.Blocks.Math.UnitConversions.From_kmh,1289,4.8,ok
Modelica.Blocks.Math.UnitConversions.From_litre,1266,4.8,ok
Modelica.Blocks.Math.UnitConversions.From_minute,1299,4.8,ok
Modelica.Blocks.Math.UnitConversions.From_rpm,1213,4.8,ok
Modelica.Blocks.Math.UnitConversions.To_bar,1228,4.8,ok
Modelica.Blocks.Math.UnitConversions.To_day,1224,4.8,ok
Modelica.Blocks.Math.UnitConversions.To_deg,1246,4.8,ok
Modelica.Blocks.Math.UnitConversions.To_degC,1284,4.8,ok
Modelica.Blocks.Math.UnitConversions.To_degF,1272,4.8,ok
Modelica.Blocks.Math.UnitConversions.To_degRk,1235,4.8,ok
Modelica.Blocks.Math.UnitConversions.To_gps,1242,4.8,ok
Modelica.Blocks.Math.UnitConversions.To_hour,1216,4.8,ok
Modelica.Blocks.Math.UnitConversions.To_kWh,1293,4.8,ok
Modelica.Blocks.Math.UnitConversions.To_kmh,1229,4.8,ok
Modelica.Blocks.Math.UnitConversions.To_litre,1253,4.7,ok
Modelica.Blocks.Math.UnitConversions.To_minute,1234,4.7,ok
Modelica.Blocks.Math.UnitConversions.To_rpm,1270,4.7,ok
Modelica.Blocks.Math.Variance,1243,4.8,ok
Modelica.Blocks.Math.WrapAngle,1228,4.8,ok
Modelica.Blocks.MathBoolean.And,1256,4.3,ok
Modelica.Blocks.MathBoolean.ChangingEdge,1259,4.3,ok
Modelica.Blocks.MathBoolean.FallingEdge,1264,4.3,ok
Modelica.Blocks.MathBoolean.MultiSwitch,1197,4.8,ok
Modelica.Blocks.MathBoolean.Nand,1274,4.3,ok
Modelica.Blocks.MathBoolean.Nor,1237,4.8,ok
Modelica.Blocks.MathBoolean.Not,1272,4.3,ok
Modelica.Blocks.MathBoolean.OnDelay,1265,4.2,ok
Modelica.Blocks.MathBoolean.Or,1261,4.2,ok
Modelica.Blocks.MathBoolean.RisingEdge,1260,4.3,ok
Modelica.Blocks.MathBoolean.Xor,1264,4.8,ok
Modelica.Blocks.MathInteger.MultiSwitch,1270,4.2,ok
Modelica.Blocks.MathInteger.Product,1280,4.2,ok
Modelica.Blocks.MathInteger.Sum,1291,4.3,ok
Modelica.Blocks.MathInteger.TriggeredAdd,1255,4.3,ok
Modelica.Blocks.Noise.BandLimitedWhiteNoise,1188,4.8,ok
Modelica.Blocks.Noise.GlobalSeed,1252,4.3,ok
Modelica.Blocks.Noise.NormalNoise,1220,4.8,ok
Modelica.Blocks.Noise.TruncatedNormalNoise,1210,4.8,ok
Modelica.Blocks.Noise.UniformNoise,1293,4.3,ok
Modelica.Blocks.Nonlinear.DeadZone,1265,4.2,ok
Modelica.Blocks.Nonlinear.FixedDelay,1286,4.2,ok
Modelica.Blocks.Nonlinear.Limiter,1262,4.3,ok
Modelica.Blocks.Nonlinear.PadeDelay,1310,4.2,ok
Modelica.Blocks.Nonlinear.SlewRateLimiter,1288,4.3,ok
Modelica.Blocks.Nonlinear.VariableDelay,1259,4.8,ok
Modelica.Blocks.Nonlinear.VariableLimiter,1258,4.3,ok
Modelica.Blocks.Routing.BooleanPassThrough,1267,4.3,ok
Modelica.Blocks.Routing.BooleanReplicator,1278,4.3,ok
Modelica.Blocks.Routing.DeMultiplex,1258,4.8,ok
Modelica.Blocks.Routing.DeMultiplex2,1271,4.3,ok
Modelica.Blocks.Routing.DeMultiplex3,1203,4.7,ok
Modelica.Blocks.Routing.DeMultiplex4,1291,4.3,ok
Modelica.Blocks.Routing.DeMultiplex5,1266,4.3,ok
Modelica.Blocks.Routing.DeMultiplex6,1268,4.3,ok
Modelica.Blocks.Routing.ExtractSignal,1276,4.3,ok
Modelica.Blocks.Routing.Extractor,1267,4.8,ok
Modelica.Blocks.Routing.IntegerPassThrough,1254,4.8,ok
Modelica.Blocks.Routing.IntegerReplicator,1284,4.8,ok
Modelica.Blocks.Routing.Multiplex,1274,4.3,ok
Modelica.Blocks.Routing.Multiplex2,1270,4.3,ok
Modelica.Blocks.Routing.Multiplex3,1266,4.3,ok
Modelica.Blocks.Routing.Multiplex4,1269,4.3,ok
Modelica.Blocks.Routing.Multiplex5,1229,4.4,ok
Modelica.Blocks.Routing.Multiplex6,1286,4.3,ok
Modelica.Blocks.Routing.RealPassThrough,1266,4.8,ok
Modelica.Blocks.Routing.Replicator,1292,4.3,ok
Modelica.Blocks.Sources.BooleanConstant,1262,4.8,ok
Modelica.Blocks.Sources.BooleanExpression,1271,5.1,ok
Modelica.Blocks.Sources.BooleanPulse,1295,4.8,ok
Modelica.Blocks.Sources.BooleanStep,1256,4.8,ok
Modelica.Blocks.Sources.BooleanTable,1317,5.5,ok
Modelica.Blocks.Sources.CombiTimeTable,1316,4.9,ok
Modelica.Blocks.Sources.Constant,1306,4.8,ok
Modelica.Blocks.Sources.ContinuousClock,1275,4.8,ok
Modelica.Blocks.Sources.Cosine,1284,4.8,ok
Modelica.Blocks.Sources.CosineVariableFrequencyAndAmplitude,1225,4.7,ok
Modelica.Blocks.Sources.ExpSine,1298,4.9,ok
Modelica.Blocks.Sources.Exponentials,1222,4.8,ok
Modelica.Blocks.Sources.IntegerConstant,1229,4.8,ok
Modelica.Blocks.Sources.IntegerExpression,1295,5,ok
Modelica.Blocks.Sources.IntegerStep,1256,4.8,ok
Modelica.Blocks.Sources.IntegerTable,1259,5.4,ok
Modelica.Blocks.Sources.KinematicPTP,1262,5.4,ok
Modelica.Blocks.Sources.KinematicPTP2,1326,5.9,ok
Modelica.Blocks.Sources.LogFrequencySweep,1264,4.8,ok
Modelica.Blocks.Sources.Pulse,1260,4.8,ok
Modelica.Blocks.Sources.RadioButtonSource,1236,5.4,ok
Modelica.Blocks.Sources.Ramp,1226,4.7,ok
Modelica.Blocks.Sources.RealExpression,1244,5,ok
Modelica.Blocks.Sources.SampleTrigger,1236,4.8,ok
Modelica.Blocks.Sources.SawTooth,1313,4.8,ok
Modelica.Blocks.Sources.Sinc,1214,4.8,ok
Modelica.Blocks.Sources.Sine,1239,4.8,ok
Modelica.Blocks.Sources.SineVariableFrequencyAndAmplitude,1286,4.8,ok
Modelica.Blocks.Sources.Step,1266,4.8,ok
Modelica.Blocks.Sources.TimeTable,1234,4.8,ok
Modelica.Blocks.Sources.Trapezoid,1289,4.8,ok
Modelica.Blocks.Tables.CombiTable1Ds,1211,4.8,ok
Modelica.Blocks.Tables.CombiTable1Dv,1196,4.8,ok
Modelica.Blocks.Tables.CombiTable2Ds,1217,4.8,ok
Modelica.Blocks.Tables.CombiTable2Dv,1216,4.8,ok
Modelica.Blocks.Tables.Internal.CombiTable2DBase,1221,4.8,ok
Modelica.Blocks.Types.ExternalCombiTable1D,1273,4.2,ok
Modelica.Blocks.Types.ExternalCombiTable2D,1276,4.2,ok
Modelica.Blocks.Types.ExternalCombiTimeTable,1269,4.2,ok
Modelica.Clocked.BooleanSignals.Interfaces.PartialClockedSISO,1259,4.2,ok
Modelica.Clocked.BooleanSignals.Interfaces.PartialClockedSO,1248,4.3,ok
Modelica.Clocked.BooleanSignals.Interfaces.PartialSISOSampler,1278,4.2,ok
Modelica.Clocked.BooleanSignals.Interfaces.SamplerIcon,1268,4.3,ok
Modelica.Clocked.BooleanSignals.NonPeriodic.BooleanChange,1190,4.2,ok
Modelica.Clocked.BooleanSignals.NonPeriodic.ClockToBoolean,1285,4.2,ok
Modelica.Clocked.BooleanSignals.NonPeriodic.FractionalDelay,1220,4.8,ok
Modelica.Clocked.BooleanSignals.NonPeriodic.UnitDelay,1245,4.3,ok
Modelica.Clocked.BooleanSignals.Sampler.AssignClock,1275,4.2,ok
Modelica.Clocked.BooleanSignals.Sampler.AssignClockVectorized,1255,4.3,ok
Modelica.Clocked.BooleanSignals.Sampler.BackSample,1269,4.3,ok
Modelica.Clocked.BooleanSignals.Sampler.Hold,1254,4.2,ok
Modelica.Clocked.BooleanSignals.Sampler.Sample,1252,4.2,ok
