name,kind,outcome,message,secs,n_equations,n_states,n_algebraic,n_discrete,n_parameters,structural,n_blocks,n_coupled,largest_coupled,has_arrays,max_depth,n_functions
Modelica.Blocks.Examples.Noise.Utilities.UniformDensity,Examples,success,,0.237,1,0,0,0,2,ok,1,0,0,false,0,1
Modelica.Blocks.Examples.Noise.Utilities.WeibullDensity,Examples,success,,0.258,1,0,0,0,2,ok,1,0,0,false,0,2
Modelica.Blocks.Examples.PID_Controller,Examples,success,,0.500,86,10,59,4,71,singular,,,,false,2,0
Modelica.Blocks.Examples.RealNetwork1,Examples,success,,0.293,26,0,11,7,44,singular,,,,false,2,2
Modelica.Blocks.Examples.Rectifier12pulseFFT,Examples,success,,5.840,1019,14,884,20,426,singular,,,,true,4,18
Modelica.Blocks.Examples.Rectifier6pulseFFT,Examples,success,,3.917,566,8,491,14,251,singular,,,,true,4,18
Modelica.Blocks.Examples.ShowLogicalSources,Examples,success,,0.441,3,0,2,11,47,ok,3,0,0,false,3,9
Modelica.Blocks.Examples.SinCosEncoder,Examples,success,,0.248,48,6,23,2,37,singular,,,,false,2,2
Modelica.Blocks.Examples.SlewRateLimiter,Examples,success,,0.259,18,5,9,2,23,singular,,,,false,1,0
Modelica.Blocks.Examples.TotalHarmonicDistortion,Examples,success,,0.841,119,6,64,23,156,ok,119,0,0,false,4,3
Modelica.Blocks.Icons.Block,Icons,success,,0.228,0,0,0,0,0,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Icons.BooleanBlock,Icons,success,,0.254,0,0,0,0,0,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Icons.DiscreteBlock,Icons,success,,0.223,0,0,0,0,0,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Icons.IntegerBlock,Icons,success,,0.232,0,0,0,0,0,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Icons.PartialBooleanBlock,Icons,success,,0.231,0,0,0,0,0,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Interaction.Show.BooleanValue,Component,success,,0.228,1,0,0,2,1,singular,,,,false,0,0
Modelica.Blocks.Interaction.Show.IntegerValue,Component,success,,0.250,1,0,0,2,1,singular,,,,false,0,0
Modelica.Blocks.Interaction.Show.RealValue,Component,success,,0.241,2,0,1,0,2,ok,2,0,0,false,0,0
Modelica.Blocks.Interfaces.Adaptors.FlowToPotentialAdaptor,Interfaces,success,,0.254,8,2,3,0,10,singular,,,,false,0,1
Modelica.Blocks.Interfaces.Adaptors.PotentialToFlowAdaptor,Interfaces,success,,0.222,8,2,3,0,10,singular,,,,false,0,1
Modelica.Blocks.Interfaces.BooleanMIMOs,Interfaces,success,,0.239,0,0,0,1,1,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Interfaces.BooleanSISO,Interfaces,success,,0.245,0,0,0,1,0,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Interfaces.BooleanSignalSource,Interfaces,success,,0.206,0,0,0,1,0,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Interfaces.DiscreteBlock,Interfaces,success,,0.206,0,0,0,3,6,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Interfaces.DiscreteMIMO,Interfaces,success,,0.213,0,0,0,3,8,singular,,,,false,1,0
Modelica.Blocks.Interfaces.DiscreteMIMOs,Interfaces,success,,0.213,0,0,0,3,7,singular,,,,false,1,0
Modelica.Blocks.Interfaces.DiscreteSISO,Interfaces,success,,0.215,0,0,0,3,6,singular,,,,false,1,0
Modelica.Blocks.Interfaces.IntegerMIBooleanMOs,Interfaces,success,,0.208,0,0,0,1,1,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Interfaces.IntegerMO,Interfaces,success,,0.209,0,0,0,1,1,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Interfaces.IntegerSIBooleanSO,Interfaces,success,,0.211,0,0,0,1,0,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Interfaces.IntegerSO,Interfaces,success,,0.212,0,0,0,1,0,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Interfaces.IntegerSignalSource,Interfaces,success,,0.211,0,0,0,1,2,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Interfaces.MI2BooleanMOs,Interfaces,success,,0.214,0,0,0,1,1,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Interfaces.MI2MO,Interfaces,success,,0.217,0,0,0,0,1,singular,,,,false,0,0
Modelica.Blocks.Interfaces.MIMO,Interfaces,success,,0.215,0,0,0,0,2,singular,,,,false,0,0
Modelica.Blocks.Interfaces.MIMOs,Interfaces,success,,0.211,0,0,0,0,1,singular,,,,false,0,0
Modelica.Blocks.Interfaces.MISO,Interfaces,success,,0.209,0,0,0,0,1,singular,,,,false,0,0
Modelica.Blocks.Interfaces.MO,Interfaces,success,,0.209,0,0,0,0,1,singular,,,,false,0,0
Modelica.Blocks.Interfaces.MVcontrol,Interfaces,success,,0.207,0,0,0,0,3,singular,,,,false,0,0
Modelica.Blocks.Interfaces.MVdiscrete,Interfaces,success,,0.214,2,0,2,9,21,singular,,,,true,2,0
Modelica.Blocks.Interfaces.PartialBooleanMISO,Interfaces,success,,0.212,0,0,0,1,1,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Interfaces.PartialBooleanSISO_small,Interfaces,success,,0.205,0,0,0,1,0,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Interfaces.PartialConversionBlock,Interfaces,success,,0.209,0,0,0,0,0,singular,,,,false,0,0
Modelica.Blocks.Interfaces.PartialIntegerMISO,Interfaces,success,,0.213,0,0,0,1,1,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Interfaces.PartialIntegerSISO,Interfaces,success,,0.210,0,0,0,1,0,error:empty system: no equations or unknowns,,,,false,0,0
